email	household_type	footage	heating_temp	cooling_temp	postal_code	utilities
akaniecki@zathunicon.com	townhome	1139	70	74	74016	Electric
akardas@green-plus.com	condominium	1123			98628	Gas,Steam
akardas@singletechno.com	house	548	71	75	28630	Electric,Gas
akarpin@faxquote.com	house	3693	69	71	48820	Electric
akarpin@singletechno.com	house	3350	71	72	30388	Electric,Fuel Oil
akeneipp@bioholding.com	apartment	947		75	26222	Electric
akeneipp@groovestreet.com	apartment	457	65		44179	Electric
aketelsen@ontomedia.com	apartment	780		74	44822	Electric,Gas
aketelsen@xx-holding.com	house	2671		73	93625	
akiel@codehow.com	apartment	970	74	72	55785	Gas,Steam,Fuel Oil
akiel@scotfind.com	house	717	70	72	13061	Gas
akines@labdrill.com	apartment	1075	67	75	19472	Fuel Oil
akippley@stanredtax.com	apartment	797	73	73	16045	Steam
akitty@fasehatice.com	condominium	488		70	97842	Gas
akitty@zathunicon.com	house	1911	68	72	92118	Electric,Gas,Fuel Oil
akitzman@sonron.com	mobile_home	323	75	71	65779	Gas
aklang@newex.com	apartment	744	73	75	07474	Fuel Oil
aklimek@sonron.com	apartment	768	74	73	85244	Electric,Gas
aklonowski@donquadtech.com	apartment	864	75	73	83634	Electric
akohl@hottechi.com	house	1905			99549	Electric,Gas
akolmetz@kinnamplus.com	mobile_home	154	67		31908	Electric,Gas
akonopacki@golddex.com	house	628	75		92191	Electric,Gas
akoppinger@sunnamplex.com	house	777	72	70	50434	Electric,Fuel Oil
akorando@doncon.com	condominium	714	71		43523	Gas
akorando@finjob.com	townhome	1568	74	69	50120	
akorando@goodsilron.com	apartment	138	69	72	26456	Steam
akownacki@green-plus.com	house	906	74		81247	Electric
akulzer@scotfind.com	townhome	1889	71	75	30087	Gas
alabreche@silis.com	apartment	36	71		45750	Fuel Oil
alace@xx-holding.com	house	1153			75092	
alacovara@hatfan.com	apartment	1336	70	73	44106	Gas
alapage@ontomedia.com	house	1517	78	76	84723	Electric,Gas,Fuel Oil
alary@toughzap.com	house	2265	72		54737	Electric,Steam
alatzke@faxquote.com	apartment	1279		71	61610	
alayous@dontechi.com	apartment	574	73		40283	
alayous@statholdings.com	apartment	1022			75663	Electric,Gas,Fuel Oil
aleinenbach@green-plus.com	apartment	1348		70	19116	Electric
aleto@warephase.com	house	222	72	73	56561	Gas
alietz@j-texon.com	house	3437	77		20667	
alindall@gogozoom.com	apartment	385	70	68	79702	Steam,Fuel Oil
aliukko@hatfan.com	apartment	1318	69	71	69027	Electric
aloader@scottech.com	house	737	74	72	50315	Electric,Gas
aloder@rundofase.com	mobile_home	424	73	74	10016	Electric,Gas
alother@doncon.com	mobile_home	444	75	72	12172	
aluczki@konmatfix.com	mobile_home	309	78	69	73546	Electric,Gas
alungren@faxquote.com	apartment	583	75	76	44470	Fuel Oil
alungren@opentech.com	house	6092	72		16731	Electric,Gas,Fuel Oil
amaclead@ron-tech.com	condominium	74			98591	Electric,Gas,Fuel Oil
amai@warephase.com	townhome	1741	77	74	98801	Electric
amaillard@bioholding.com	apartment	867	76	71	94543	Electric
amaillard@plexzap.com	apartment	873	67		41760	Gas
amallett@plussunin.com	townhome	1323	68		96141	Gas
amarrier@hatfan.com	house	1630	75	73	11955	
amarrier@zoomit.com	house	721	75		60053	Electric
amartabano@ron-tech.com	house	1995	67	71	78116	Gas
amatuszak@dalttechnology.com	apartment	1700		71	27315	Gas
amaybury@rundofase.com	townhome	1430	73	69	10161	
amaynerich@bioholding.com	condominium	52		72	15779	Gas
amaynerich@treequote.com	townhome	1081			60176	Gas
amccullan@plexzap.com	house	1240	69	73	17243	Electric,Gas
amcdoniel@faxquote.com	apartment	831	69	76	14150	Gas,Fuel Oil
amcdoniel@kinnamplus.com	apartment	428	76	73	68226	Electric
amconnell@zumgoity.com	apartment	495		74	90261	Electric
amcrae@silis.com	townhome	101	71	75	43216	Electric,Gas,Fuel Oil
ameteer@betatech.com	condominium	807		72	51553	Electric,Fuel Oil
amiceli@funholding.com	condominium	1061	65		58740	Electric,Gas,Fuel Oil
amirafuentes@finhigh.com	condominium	2896	71	75	84513	Gas
amirafuentes@newex.com	condominium	1805		72	30668	Electric
amirafuentes@plexzap.com	mobile_home	202	77	71	69025	Electric,Gas
amiro@groovestreet.com	townhome	2932	72		98575	Fuel Oil
amodzelewski@yearin.com	house	1448	72	70	95386	
amonarrez@funholding.com	house	736	67	73	71953	Electric
amonarrez@inity.com	apartment	879	73	70	54559	Fuel Oil
amonarrez@toughzap.com	apartment	1542	71		53585	Gas
amondella@funholding.com	mobile_home	994	66		25161	Electric
amondella@sumace.com	house	549	72		77336	
amondella@zathunicon.com	house	1540	73	69	95385	Gas
amonterrubio@domzoom.com	mobile_home	219	71	73	38017	
amonterrubio@dontechi.com	apartment	88	67	68	76210	Electric
amorasca@betatech.com	apartment	457	73	75	26714	Electric
amorocco@conecom.com	apartment	525	76	72	22408	Fuel Oil
amorocco@rantouch.com	apartment	773		71	33035	Electric,Steam
amoyd@betatech.com	house	1351	71		65672	Gas
amugnolo@j-texon.com	apartment	555		74	27626	Electric,Gas
amulqueen@silis.com	mobile_home	223	68		95032	
amyricks@konmatfix.com	house	1157			66741	
amyricks@sonron.com	house	1549	78	74	20111	Gas
anabours@bioholding.com	townhome	629	72	73	08854	Electric
anewville@newex.com	house	799	72	71	37857	Gas
anewville@sunnamplex.com	house	1072	72		07092	
anewville@warephase.com	house	1160	73		89018	Electric
anicka@zotware.com	apartment	659	73	76	57188	Electric
anievas@hottechi.com	townhome	1371	73	72	23702	Gas
aogg@warephase.com	house	1006	68	74	72958	Gas
aoles@blackzim.com	mobile_home	428		75	46355	Electric
aonofrio@conecom.com	mobile_home	435		74	18651	Gas
aonofrio@yearin.com	house	628	66	75	24826	Gas,Fuel Oil
aostolaza@iselectrics.com	apartment	1074	66	73	60464	Electric,Gas,Steam
apadilla@iselectrics.com	apartment	547	72		37143	Electric,Gas
apagliuca@xx-zobam.com	house	1342	68	74	92051	
apalaia@cancity.com	house	1852	70		37779	Electric,Gas
apalaia@hatfan.com	apartment	729	73	71	20138	Fuel Oil
aparlato@doncon.com	townhome	1613	73		70569	Electric
aparlato@groovestreet.com	mobile_home	215	74	72	37243	Gas
aparvis@blackzim.com	apartment	196	64	75	92283	Electric
aparvis@groovestreet.com	townhome	821		74	32956	Electric,Gas
apedrozo@silis.com	apartment	1409	73		93279	Fuel Oil
apelkowski@warephase.com	mobile_home	372	78	75	71452	Gas
aperez@sonron.com	condominium	901	73	70	72840	Gas
apoquette@faxquote.com	house	3477	73	69	47958	
apoquette@goodsilron.com	house	2288	77	73	08057	
apugh@lexiqvolax.com	mobile_home	342	73		33776	Electric
aradde@plussunin.com	apartment	1047	76		64109	Fuel Oil
aradde@scottech.com	house	572	76	71	78041	Electric
arantanen@golddex.com	apartment	798		73	91124	Gas
arantanen@singletechno.com	mobile_home	450	72	73	49919	Electric,Gas,Fuel Oil
arauser@fasehatice.com	townhome	2570	71		31569	Electric,Gas,Fuel Oil
araymo@funholding.com	apartment	1380	73	73	30161	
araymo@rundofase.com	house	890	67	76	88268	Electric
araymo@statholdings.com	apartment	508	73		17885	Gas
aregusters@lexiqvolax.com	house	1441	75		57730	Gas,Steam
areiber@scottech.com	townhome	2815	77		27542	Electric,Fuel Oil
arestrepo@zumgoity.com	house	1463	70	74	45363	Electric,Gas,Fuel Oil
arhoden@zathunicon.com	condominium	1583		76	03057	Electric,Gas,Fuel Oil
arhym@plexzap.com	house	121	66		21045	Electric,Steam,Fuel Oil
ariden@hatfan.com	house	645	73	73	33166	
ariopelle@mathtouch.com	house	1752	75	73	68325	Electric,Gas
arochin@toughzap.com	apartment	829	71		89434	Steam
arodefer@sumace.com	apartment	2328	71		22454	Fuel Oil
arodeigues@codehow.com	condominium	171	78	72	10309	Electric,Fuel Oil
arowling@stanredtax.com	apartment	810		73	08406	Electric,Fuel Oil
arulapaugh@labdrill.com	house	684	76	71	80932	Steam
arulapaugh@zoomit.com	house	2298	72		97394	Fuel Oil
aryser@groovestreet.com	house	566	72	71	15931	
asama@zoomit.com	house	2188	72		75354	
asaras@green-plus.com	apartment	1926	75	69	78294	Electric,Gas
asaulter@codehow.com	house	751	69	70	00794	Electric,Fuel Oil
asawchuk@hottechi.com	mobile_home	423	67		32596	Gas
asaylors@golddex.com	apartment	821	73	73	46777	Gas
asaylors@rantouch.com	house	1232	72	73	67626	Gas
asaylors@sunnamplex.com	apartment	1409	70		99786	Electric
asaylors@zumgoity.com	house	675	73		47716	
ascheyer@ontomedia.com	townhome	1869	75	72	60653	Gas,Steam
ascheyer@ron-tech.com	townhome	2642	69	72	49665	Electric,Gas
aschieler@ron-tech.com	house	2467	67	71	18078	Electric,Gas,Fuel Oil
aschmaltz@scotfind.com	apartment	369	71		95563	Electric
aschmaltz@zencorporation.com	house	1459	75		74014	Electric
aschnitzler@fasehatice.com	apartment	903	67		78053	Electric,Gas
aschoeneck@finjob.com	house	1323	76	70	25988	
aschoeneck@scottech.com	apartment	977	73	71	36052	Electric,Gas
ascriven@hatfan.com	mobile_home	570		71	66830	Electric,Gas
aseewald@conecom.com	house	2436	75	70	10590	Electric,Gas
aseewald@doncon.com	house	1320	65	73	76124	Electric,Steam
asengbusch@fasehatice.com	townhome	1878		70	47858	
asergi@labdrill.com	apartment	1039	77	71	65251	Electric
asergi@stanredtax.com	condominium	2654		71	75169	
ashadrick@zumgoity.com	mobile_home	147	73	73	38780	Electric,Gas,Fuel Oil
ashin@zoomit.com	apartment	39	69	73	34729	Gas,Fuel Oil
asilvestrini@plussunin.com	house	1330	71		92552	Electric,Steam
asilvestrini@sunnamplex.com	house	2060	68	74	14812	Electric
asimilton@dontechi.com	house	2172		73	46570	
asimilton@plussunin.com	house	1871	71		20047	Electric
askulski@blackzim.com	house	1652	67	70	18932	Gas
askulski@ontomedia.com	apartment	367	71	73	19451	Gas
askursky@j-texon.com	apartment	857		72	02661	Gas
aslayton@year-job.com	apartment	131	70	73	03864	Electric
aslusarski@iselectrics.com	apartment	751	72	74	76233	Gas,Steam
aspickerman@labdrill.com	townhome	693	66	73	44735	Electric
aspickerman@year-job.com	house	1792	72	70	30187	Gas,Fuel Oil
astaback@kinnamplus.com	townhome	1590	76	69	49782	Electric
astem@toughzap.com	apartment	55	76	72	35580	
astenseth@ontomedia.com	mobile_home	645		72	36371	Electric
astenseth@plusstrip.com	condominium	1807		75	68816	Electric
astenseth@stanredtax.com	house	1124	66	71	44690	Electric,Gas
astimmel@bioholding.com	apartment	1545	74	74	43722	Electric,Gas
astimmel@ganjaflex.com	apartment	144	76	68	65264	Gas,Steam
astoltzman@blackzim.com	apartment	86	74	75	67475	Electric,Fuel Oil
astoltzman@domzoom.com	condominium	753	66	71	87499	Electric,Gas
astoltzman@zotware.com	house	3772	74		70752	
astorment@statholdings.com	house	805	67	69	22645	Electric,Gas,Fuel Oil
astrassner@faxquote.com	apartment	43	69	73	21679	Electric
asweigard@fasehatice.com	apartment	909	69		23225	
ategarden@treequote.com	house	2454	76	73	28081	Electric
atheodorov@fasehatice.com	condominium	1922			15936	
atoelkes@dontechi.com	house	987	78		40724	Electric,Gas
atolfree@plexzap.com	house	748	71	72	82190	
atreston@condax.com	house	1294	71	73	82832	
atromblay@j-texon.com	townhome	815	76	76	49916	Electric
atromblay@xx-holding.com	house	1393		71	20053	
aturinetti@j-texon.com	townhome	1028		71	78738	
aturinetti@scotfind.com	apartment	2226	70	72	57301	Gas
aupthegrove@fasehatice.com	townhome	704	67		21677	Steam
aupthegrove@hatfan.com	house	2658	76		30285	Gas,Fuel Oil
auyetake@sonron.com	apartment	529	71	76	30810	Electric,Gas,Fuel Oil
auyetake@toughzap.com	apartment	529	68		25901	Electric,Gas,Fuel Oil
avanausdal@streethex.com	apartment	1171	71	75	80161	
avanheusen@cancity.com	apartment	95	69	74	27291	Electric,Fuel Oil
avanheusen@finjob.com	condominium	2383	73	69	50350	Fuel Oil
avenere@fasehatice.com	townhome	1189	75	73	74423	Gas
avizarro@bioholding.com	apartment	146	74	73	22720	
avizarro@ganjaflex.com	mobile_home	174	76		42044	
awardrip@golddex.com	townhome	641	73		03803	
awaycott@ganjaflex.com	condominium	1606	73	73	74425	Electric
aweglarz@warephase.com	condominium	459	75	76	25927	
aweight@cancity.com	apartment	1293	76	75	42565	Electric
aweirather@funholding.com	house	788	75	74	27361	Electric,Fuel Oil
awenner@bioplex.com	townhome	1321	73	76	98401	Electric
awhobrey@zathunicon.com	house	1391		70	07621	
awiklund@gogozoom.com	condominium	1502	69		01770	Gas
awiklund@kan-code.com	apartment	414	73	71	53074	Electric
awildfong@faxquote.com	house	1253	64	74	47863	Electric,Steam
aworlds@ganjaflex.com	house	1425		74	86544	
aworlds@plussunin.com	house	4834	74		05648	Gas
aworlds@stanredtax.com	house	2654	75		56563	Electric,Gas
awrinkles@statholdings.com	apartment	454	67		22663	Electric
azagen@plussunin.com	apartment	1175		74	19310	Electric,Gas,Steam
azane@zencorporation.com	apartment	935		70	13803	Electric,Gas
azepp@zencorporation.com	house	553	74	73	12220	Electric,Fuel Oil
azurcher@codehow.com	house	1955		75	18449	Gas
bacey@hottechi.com	house	523	71	72	91335	Gas
bacuff@groovestreet.com	house	1284	64	72	71935	
bagramonte@zumgoity.com	house	1920	70	70	21903	
bahle@golddex.com	house	2821	74	72	78623	Electric,Gas,Fuel Oil
bahle@stanredtax.com	house	1628	71	71	01526	Gas
balbares@hatfan.com	townhome	1006	75	72	54449	
bangalich@xx-zobam.com	house	1598	71		99677	
barias@silis.com	condominium	1025	76	73	68868	Steam
basar@fasehatice.com	townhome	2148		74	45211	
bbachman@y-corporation.com	apartment	744	71	75	08825	Gas,Fuel Oil
bbayless@konex.com	apartment	828	72	71	48106	Electric,Gas
bbeech@scottech.com	apartment	1285	69	75	46012	Gas
bbenimadho@dalttechnology.com	condominium	1414	75		76449	Gas
bbenimadho@funholding.com	apartment	1214	69	71	95527	
bberganza@streethex.com	mobile_home	499	73	68	85712	Electric
bbergesen@groovestreet.com	condominium	1009	69	73	76707	Electric
bbevelacqua@hottechi.com	apartment	566	64	73	94619	Electric,Gas,Fuel Oil
bbilden@domzoom.com	house	561	71	73	39359	Electric
bbirkner@warephase.com	apartment	78		71	23607	Electric
bblackwood@isdom.com	house	621	78		92316	
bblackwood@rangreen.com	apartment	3254	71		07839	
bboulter@dalttechnology.com	apartment	748	76	71	47729	Electric
bbowley@hatfan.com	apartment	1178	68	71	64058	
bbreland@plusstrip.com	house	2146	66		54610	Fuel Oil
bbreland@zathunicon.com	house	722	69	74	57745	Electric
bbrossart@konex.com	townhome	1877	73		32187	Gas,Steam
bbrossart@toughzap.com	apartment	137	76	74	87010	
bbruschke@cancity.com	house	971		74	26618	Electric
bbubash@cancity.com	apartment	998	67	72	44050	Electric
bbutt@bioholding.com	mobile_home	581		73	37148	Gas
bcalvaresi@codehow.com	townhome	625	66	71	74046	Electric
bcampain@gogozoom.com	house	690	76		60151	Electric,Gas
bcanlas@donware.com	townhome	1909	74	71	60014	Electric
bcanlas@green-plus.com	condominium	293	73		71202	
bcantres@donware.com	house	2775	67	72	98859	
bcentini@hottechi.com	house	3104	76	75	02295	Gas
bcetta@singletechno.com	apartment	1218	72	72	66830	Gas
bchaffins@hottechi.com	apartment	511		73	54407	Fuel Oil
bchavous@kinnamplus.com	apartment	766	77		49036	Gas
bchavous@statholdings.com	apartment	1173	71	73	31759	
bchickering@scotfind.com	house	802	74	74	77290	Gas
bcloney@groovestreet.com	apartment	656	73	71	78658	Electric,Fuel Oil
bcolla@golddex.com	house	1220	75		56252	Gas
bcolla@mathtouch.com	house	2317		69	35463	Electric
bcorbley@singletechno.com	townhome	1323	73	75	28123	Electric,Gas
bcorrio@sunnamplex.com	apartment	1606	77	73	33233	Electric
bcousey@nam-zim.com	apartment	1853			34691	Gas,Fuel Oil
bcousey@statholdings.com	house	2122		74	37111	Gas
bcousey@treequote.com	apartment	1060	76	73	40037	Electric,Fuel Oil
bcoyier@labdrill.com	apartment	1168	75	70	02668	Electric,Gas,Fuel Oil
bdaufeldt@lexiqvolax.com	townhome	1705	74		47346	
bdelasancha@warephase.com	apartment	1356	73	72	18462	Steam,Fuel Oil
bdeleo@scotfind.com	townhome	201		73	45620	
bdevreese@streethex.com	townhome	696	67	73	24448	Steam
bdewar@fasehatice.com	apartment	976	70	74	49279	Electric
bdhamer@mathtouch.com	house	1136	73	75	77483	Electric
bdorshorst@plusstrip.com	apartment	888	65	74	10106	Fuel Oil
bdubaldi@lexiqvolax.com	apartment	440	70	74	48519	Electric
bdubaldi@newex.com	apartment	3853	68	72	97448	Electric,Gas,Fuel Oil
beanes@dontechi.com	house	660	73	70	04863	Electric
beanes@j-texon.com	mobile_home	279	74	69	68823	Electric
beanes@y-corporation.com	house	654			82428	Electric,Fuel Oil
bemigh@bioholding.com	apartment	362	73	69	38195	Electric,Gas
bennaco@dalttechnology.com	condominium	532	71	76	48862	Fuel Oil
beschberger@stanredtax.com	apartment	1286	71	72	85940	Electric,Gas
bestell@condax.com	apartment	421	77	71	01037	Electric,Steam,Fuel Oil
bfallick@funholding.com	apartment	1031	74	73	58068	Electric,Fuel Oil
bfallick@rangreen.com	mobile_home	46	73		03047	Electric,Gas
bfarrar@lexiqvolax.com	apartment	522	67	70	49812	Gas,Fuel Oil
bfarrow@gogozoom.com	apartment	1103	77		71742	Electric
bfeichtner@goodsilron.com	house	762	66		29666	Electric
bfelger@silis.com	house	1231	68	75	97490	Electric
bfelger@year-job.com	apartment	838	66	68	10527	Gas
bferencz@isdom.com	house	1563	67	76	77598	Electric
bfern@dalttechnology.com	townhome	1031	72		56116	Electric,Gas
bfishburne@donware.com	house	967	72		32725	Gas
bfortino@green-plus.com	house	1932		72	03838	Electric,Gas
bfrancescon@finhigh.com	house	630	76	73	45663	Electric,Gas,Fuel Oil
bfrancescon@toughzap.com	townhome	1477	72	68	47390	
bfrancescon@yearin.com	house	1738	65	73	45389	Electric,Steam
bfrankel@sunnamplex.com	condominium	3063	66	74	92191	
bfrankel@zencorporation.com	apartment	894	76	72	39045	
